TotalSteps,TotalDistance,Calories,SCORE
13162,8.5,1985,0
10735,6.96999979,1797,0
10460,6.739999771,1776,0
9762,6.28000021,1745,0
12669,8.159999847,1863,0
9705,6.480000019,1728,0
13019,8.590000153,1921,0
15506,9.880000114,2035,0
10544,6.679999828,1786,0
9819,6.340000153,1775,0
12764,8.130000114,1827,0
14371,9.039999962,1949,0
10039,6.409999847,1788,0
15355,9.800000191,2013,0
13755,8.789999962,1970,0
18134,12.21000004,2159,0
13154,8.529999733,1898,0
11181,7.150000095,1837,0
14673,9.25,1947,0
10602,6.809999943,1820,0
14727,9.710000038,2004,0
15103,9.659999847,1990,0
11100,7.150000095,1819,0
14070,8.899999619,1959,0
12159,8.029999733,1896,0
11992,7.710000038,1821,0
10060,6.579999924,1740,0
12022,7.71999979,1819,0
12207,7.769999981,1859,0
12770,8.130000114,1783,0
0,0,0,0
8163,5.309999943,1432,0
7007,4.550000191,1411,0
9107,5.920000076,1572,0
1510,0.980000019,1344,0
5370,3.49000001,1463,0
6175,4.059999943,1554,0
10536,7.409999847,1604,0
2916,1.899999976,1435,0
4974,3.230000019,1446,0
6349,4.130000114,1467,0
4026,2.619999886,1470,0
8538,5.550000191,1562,0
6076,3.950000048,1617,0
6497,4.21999979,1492,0
2826,1.840000033,1402,0
8367,5.440000057,1670,0
2759,1.789999962,1401,0
2390,1.549999952,1404,0
6474,4.300000191,1655,0
36019,28.03000069,2690,0
7155,4.929999828,1497,0
2100,1.370000005,1334,0
2193,1.429999948,1368,0
2470,1.610000014,1370,0
1727,1.120000005,1341,0
2104,1.370000005,1474,0
3427,2.230000019,1427,0
1732,1.129999995,1328,0
2969,1.929999948,1393,0
3134,2.039999962,1359,0
2971,1.929999948,1002,0
10694,7.769999981,3199,0
8001,5.820000172,2902,0
11037,8.020000458,3226,0
5263,3.829999924,2750,0
15300,11.11999989,3493,0
8757,6.369999886,3011,0
7132,5.190000057,2806,0
11256,8.180000305,3300,0
2436,1.769999981,2430,0
1223,0.889999986,2140,0
3673,2.670000076,2344,0
6637,4.829999924,2677,0
3321,2.410000086,2413,0
3580,2.599999905,2497,0
9919,7.210000038,3123,0
3032,2.200000048,2489,0
9405,6.840000153,3108,0
3176,2.309999943,2498,0
18213,13.23999977,3846,0
6132,4.460000038,2696,0
3758,2.730000019,2580,0
12850,9.340000153,3324,0
2309,1.679999948,2222,0
4363,3.190000057,2463,0
9787,7.119999886,3328,0
13372,9.720000267,3404,0
6724,4.889999866,2987,0
6643,4.829999924,3008,0
9167,6.659999847,2799,0
1329,0.970000029,1276,0
6697,4.429999828,2030,0
4929,3.25999999,1860,0
7937,5.25,2130,0
3844,2.539999962,1725,0
3414,2.25999999,1657,0
4525,2.99000001,1793,0
4597,3.039999962,1814,0
197,0.129999995,1366,0
8,0.01,1349,0
8054,5.320000172,2062,0
5372,3.549999952,1827,0
3570,2.359999895,1645,0
0,0,1347,0
0,0,1347,0
0,0,1347,0
4,0,1348,0
6907,4.570000172,1992,0
4920,3.25,1856,0
4014,2.670000076,1763,0
2573,1.700000048,1541,0
0,0,1348,0
4059,2.680000067,1742,0
2080,1.370000005,1549,0
2237,1.480000019,1589,0
44,0.029999999,1351,0
0,0,1347,0
0,0,1347,0
0,0,1347,0
0,0,1347,0
0,0,1347,0
0,0,665,0
678,0.469999999,2220,0
356,0.25,2151,0
2163,1.5,2383,0
980,0.680000007,2221,0
0,0,2064,0
0,0,2063,0
244,0.170000002,2111,0
0,0,2063,0
0,0,2063,0
0,0,2064,0
149,0.100000001,2093,0
2945,2.039999962,2499,0
2090,1.450000048,2324,0
152,0.109999999,2100,0
3761,2.599999905,2638,0
0,0,2063,0
1675,1.159999967,2351,0
