PM2.5,PM10,NO,NO2,Nox,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,SCORE
27.93,95.68,9.72,4.71,14.19,0.88,0.79,9.36,30.18,3.39,0.04,3.82,93.00,0.00
34.05,90.68,16.53,9.83,25.86,1.68,0.93,4.27,17.23,5.27,0.89,21.98,96.00,0.00
38.10,61.67,7.61,3.30,10.90,1.37,0.65,14.74,26.14,7.14,1.94,2.15,88.00,0.00
40.41,67.91,10.52,3.96,12.79,3.76,0.55,9.97,28.60,4.46,2.02,1.48,71.00,0.00
27.21,62.04,8.60,7.20,10.64,5.90,0.53,9.63,34.72,3.57,2.08,1.32,69.00,0.00
29.75,64.56,10.22,5.64,11.21,5.98,0.55,8.67,21.21,4.00,1.72,1.31,68.00,0.00
18.35,49.86,9.53,4.55,10.10,5.94,0.51,8.83,27.24,5.97,5.59,7.50,59.00,0.00
34.43,89.26,9.80,4.23,10.04,5.87,0.66,8.71,37.10,4.85,2.52,1.49,74.00,0.00
33.66,105.30,10.94,6.56,11.80,5.97,0.73,8.19,21.10,5.69,2.16,1.39,102.00,0.00
22.93,73.73,13.33,6.05,10.80,6.34,0.79,12.05,17.26,4.74,1.81,1.28,94.00,0.00
16.00,57.51,18.72,5.25,17.25,6.51,0.83,12.05,24.57,7.30,1.96,1.25,80.00,0.00
22.41,59.18,18.75,5.06,17.87,6.57,0.56,13.40,31.23,4.98,1.65,1.36,77.00,0.00
13.93,49.87,12.76,3.31,7.67,6.10,0.50,14.95,16.21,2.79,1.66,1.55,48.00,0.00
24.45,49.40,27.37,5.30,24.85,7.27,0.85,16.05,12.58,6.07,1.89,2.33,68.00,0.00
15.77,44.47,13.35,5.38,13.63,6.20,0.54,15.90,20.96,4.99,2.73,1.79,58.00,0.00
29.59,71.00,10.47,7.86,12.90,6.24,0.71,16.42,19.05,6.85,2.43,1.85,58.00,0.00
30.27,73.77,7.99,8.10,10.54,5.76,0.46,18.14,16.87,4.50,2.51,1.64,74.00,0.00
25.90,77.68,9.62,4.75,10.27,5.90,0.44,15.09,17.33,4.37,2.27,1.41,72.00,0.00
38.69,82.66,10.07,4.05,10.31,6.01,0.49,14.44,15.07,4.07,1.45,1.58,83.00,0.00
53.09,112.60,8.63,5.00,9.58,5.96,0.51,11.35,17.72,4.88,0.65,1.67,94.00,0.00
43.67,104.59,10.14,4.64,10.57,5.99,0.61,12.42,13.96,4.70,0.92,1.96,106.00,0.00
53.12,120.09,17.13,5.73,16.77,6.57,0.85,13.54,16.92,5.99,1.07,2.17,108.00,0.00
56.82,121.89,13.25,6.53,13.70,6.21,0.74,12.52,19.27,7.20,0.99,1.89,117.00,0.00
50.45,106.22,13.64,6.51,14.27,6.27,0.74,10.38,11.03,5.31,0.86,1.76,107.00,0.00
58.03,106.62,13.94,5.64,14.67,6.25,0.72,12.45,26.84,6.49,0.89,1.99,107.00,0.00
57.61,112.63,15.52,4.30,14.77,6.21,0.71,11.66,19.64,5.98,0.96,2.01,98.00,0.00
74.80,128.72,13.92,6.28,14.43,6.31,0.83,13.50,19.87,6.43,0.66,25.17,135.00,0.00
73.44,135.12,16.48,6.34,16.60,6.47,0.95,12.40,15.35,6.67,0.55,49.92,138.00,0.00
83.96,151.62,17.66,6.60,17.59,6.62,1.00,10.71,19.99,7.02,0.57,1.40,158.00,0.00
80.65,133.85,16.88,7.57,17.78,6.95,0.88,10.20,22.35,6.95,0.55,1.33,187.00,0.00
56.20,108.33,12.07,5.93,12.92,6.42,0.61,10.23,24.06,4.80,0.35,1.27,122.00,0.00
51.84,109.52,14.08,5.48,14.22,6.49,0.62,11.54,18.30,4.92,0.40,3.80,110.00,0.00
53.90,111.12,10.73,5.40,11.43,6.04,0.59,11.04,18.54,4.51,0.29,2.05,105.00,0.00
53.79,117.94,11.51,5.22,11.97,6.14,0.54,10.41,19.03,4.71,0.30,3.57,111.00,0.00
47.72,106.01,10.27,4.30,10.48,6.15,0.54,9.55,22.98,4.48,1.08,2.68,108.00,0.00
46.90,108.10,18.05,5.96,17.37,6.75,0.73,10.67,16.13,5.49,2.45,3.01,104.00,0.00
71.66,130.66,21.97,7.38,21.56,7.01,0.91,9.69,15.62,6.21,3.91,3.96,110.00,0.00
92.30,159.18,17.22,7.59,17.86,6.61,0.99,10.21,17.21,3.33,8.64,1.03,190.00,0.00
104.11,150.29,12.26,6.84,13.52,6.22,0.82,10.29,18.17,3.00,6.19,0.90,231.00,0.00
122.16,180.25,7.80,16.30,11.84,7.79,0.73,9.92,17.49,3.04,5.90,0.81,253.00,0.00
154.85,224.22,33.17,13.60,33.08,27.94,0.82,9.24,16.20,3.21,6.21,0.76,335.00,0.00
110.06,184.04,36.29,19.43,43.39,40.84,1.29,9.28,14.68,3.47,8.34,0.95,268.00,0.00
108.09,181.54,17.27,11.43,20.99,22.60,1.01,8.21,22.36,3.42,7.81,0.86,270.00,0.00
109.17,169.19,9.28,10.06,13.98,12.73,0.99,8.87,24.24,3.29,6.73,0.85,262.00,0.00
