HOURS_OF_SLEEP,REM_SLEEP,DEEP_SLEEP,HEART_RATE_BELOW_RESTING,SCORE,,
7.22,0.18,0.21,0.98,0.00,,
8.4,0.21,0.21,0.73,0.00,,
8.52,0.21,0.17,0.26,0.00,,
6.5,0.17,0.19,0.99,0.00,,
6.57,0.18,0.21,0.97,0.00,,
7.27,0.17,0.19,0.77,0.00,,
7.57,0.22,0.14,0.68,0.00,,
7.27,0.19,0.18,0.71,0.00,,
8.12,0.19,0.15,0.71,0.00,,
6.57,0.15,0.18,0.96,0.00,,
7.39,0.17,0.19,0.98,0.00,,
8,0.20,0.19,0.73,0.00,,
7.48,0.11,0.13,0.73,0.00,,
7.19,0.19,0.23,0.77,0.00,,
8.04,0.17,0.19,0.57,0.00,,
9.39,0.21,0.17,0.96,0.00,,
7.32,0.24,0.14,0.99,0.00,,
7.59,0.17,0.18,0.95,0.00,,
7.59,0.15,0.17,0.45,0.00,,
6.54,0.20,0.15,0.09,0.00,,
7.59,0.22,0.24,0.99,0.00,,
7.44,0.19,0.08,0.88,0.00,,
7.55,0.08,0.12,0.57,0.00,,
8.17,0.13,0.15,0.64,0.00,,
7.39,0.16,0.20,0.70,0.00,,
7.18,0.22,0.14,1.00,0.00,,
7.34,0.24,0.19,0.98,0.00,,
6.54,0.21,0.22,0.90,0.00,,
7.45,0.19,0.17,0.95,0.00,,
7.11,0.22,0.18,0.75,0.00,,
7.33,0.23,0.19,0.98,0.00,,
7.17,0.16,0.13,0.94,0.00,,
7.17,0.15,0.17,0.78,0.00,,
8.23,0.20,0.15,0.58,0.00,,
7.19,0.20,0.12,0.79,0.00,,
7.18,0.18,0.16,0.56,0.00,,
8.02,0.21,0.11,0.94,0.00,,
6.47,0.22,0.16,0.94,0.00,,
7.32,0.12,0.14,0.96,0.00,,
7.45,0.20,0.13,0.75,0.00,,
7.57,0.13,0.10,0.45,0.00,,
6.47,0.24,0.17,0.74,0.00,,
8.33,0.21,0.15,0.83,0.00,,
7.33,0.12,0.20,0.76,0.00,,
7.08,0.26,0.19,0.31,0.00,,
6.34,0.16,0.23,0.00,0.00,,
7.18,0.21,0.16,0.79,0.00,,
8.14,0.16,0.18,0.99,0.00,,
