HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SCORE
7:22:00,18.00%,21.00%,98.00%,0.00
8:40:00,21.00%,21.00%,73.00%,0.00
8:52:00,21.00%,17.00%,26.00%,0.00
6:50:00,17.00%,19.00%,99.00%,0.00
6:57:00,18.00%,21.00%,97.00%,0.00
7:27:00,17.00%,19.00%,77.00%,0.00
7:57:00,22.00%,14.00%,68.00%,0.00
7:27:00,19.00%,18.00%,71.00%,0.00
8:12:00,19.00%,15.00%,71.00%,0.00
6:57:00,15.00%,18.00%,96.00%,0.00
7:39:00,17.00%,19.00%,98.00%,0.00
8:00:00,20.00%,19.00%,73.00%,0.00
7:48:00,11.00%,13.00%,73.00%,0.00
7:19:00,19.00%,23.00%,77.00%,0.00
8:04:00,17.00%,19.00%,57.00%,0.00
9:39:00,21.00%,17.00%,96.00%,0.00
7:32:00,24.00%,14.00%,99.00%,0.00
7:59:00,17.00%,18.00%,95.00%,0.00
7:59:00,15.00%,17.00%,45.00%,0.00
6:54:00,20.00%,15.00%,9.00%,0.00
7:59:00,22.00%,24.00%,99.00%,0.00
7:44:00,19.00%,8.00%,88.00%,0.00
7:55:00,8.00%,12.00%,57.00%,0.00
8:17:00,13.00%,15.00%,64.00%,0.00
7:39:00,16.00%,20.00%,70.00%,0.00
7:18:00,22.00%,14.00%,100.00%,0.00
7:34:00,24.00%,19.00%,98.00%,0.00
6:54:00,21.00%,22.00%,90.00%,0.00
7:45:00,19.00%,17.00%,95.00%,0.00
7:11:00,22.00%,18.00%,75.00%,0.00
7:33:00,23.00%,19.00%,98.00%,0.00
7:17:00,16.00%,13.00%,94.00%,0.00
7:17:00,15.00%,17.00%,78.00%,0.00
8:23:00,20.00%,15.00%,58.00%,0.00
7:19:00,20.00%,12.00%,79.00%,0.00
7:18:00,18.00%,16.00%,56.00%,0.00
8:02:00,21.00%,11.00%,94.00%,0.00
6:47:00,22.00%,16.00%,94.00%,0.00
7:32:00,12.00%,14.00%,96.00%,0.00
7:45:00,20.00%,13.00%,75.00%,0.00
7:57:00,13.00%,10.00%,45.00%,0.00
6:47:00,24.00%,17.00%,74.00%,0.00
8:33:00,21.00%,15.00%,83.00%,0.00
7:33:00,12.00%,20.00%,76.00%,0.00
7:08:00,26.00%,19.00%,31.00%,0.00
6:34:00,16.00%,23.00%,0.00%,0.00
7:18:00,21.00%,16.00%,79.00%,0.00
8:14:00,16.00%,18.00%,99.00%,0.00
7:08:00,29.00%,17.00%,65.00%,0.00
7:06:00,23.00%,14.00%,98.00%,0.00
8:26:00,21.00%,19.00%,96.00%,0.00
7:29:00,22.00%,16.00%,90.00%,0.00
8:37:00,20.00%,19.00%,95.00%,0.00
9:03:00,12.00%,18.00%,52.00%,0.00
6:39:00,16.00%,14.00%,50.00%,0.00
7:51:00,21.00%,27.00%,83.00%,0.00
7:06:00,20.00%,16.00%,90.00%,0.00
6:57:00,20.00%,18.00%,99.00%,0.00
7:23:00,26.00%,16.00%,98.00%,0.00
7:48:00,22.00%,21.00%,60.00%,0.00
8:09:00,23.00%,19.00%,70.00%,0.00
4:13:00,15.00%,18.00%,0.00%,0.00
8:09:00,22.00%,18.00%,92.00%,0.00
7:27:00,16.00%,13.00%,96.00%,0.00
7:25:00,19.00%,21.00%,99.00%,0.00
7:10:00,18.00%,15.00%,89.00%,0.00
6:46:00,14.00%,16.00%,96.00%,0.00
6:48:00,19.00%,21.00%,96.00%,0.00
7:37:00,12.00%,17.00%,98.00%,0.00
7:47:00,20.00%,12.00%,98.00%,0.00
7:26:00,23.00%,18.00%,96.00%,0.00
6:59:00,31.00%,24.00%,71.00%,0.00
8:08:00,27.00%,16.00%,98.00%,0.00
7:32:00,24.00%,19.00%,93.00%,0.00
7:10:00,25.00%,17.00%,86.00%,0.00
7:14:00,23.00%,18.00%,68.00%,0.00
7:26:00,19.00%,15.00%,86.00%,0.00
8:05:00,24.00%,15.00%,58.00%,0.00
7:12:00,21.00%,19.00%,72.00%,0.00
7:56:00,17.00%,16.00%,97.00%,0.00
8:42:00,21.00%,14.00%,94.00%,0.00
6:28:00,21.00%,15.00%,96.00%,0.00
8:04:00,22.00%,17.00%,57.00%,0.00
8:04:00,26.00%,23.00%,54.00%,0.00
7:45:00,22.00%,18.00%,95.00%,0.00
7:39:00,20.00%,19.00%,74.00%,0.00
7:09:00,25.00%,16.00%,97.00%,0.00
6:52:00,26.00%,24.00%,96.00%,0.00
7:42:00,20.00%,18.00%,92.00%,0.00
7:37:00,22.00%,20.00%,57.00%,0.00
8:27:00,12.00%,12.00%,71.00%,0.00
7:21:00,16.00%,15.00%,59.00%,0.00
7:30:00,18.00%,17.00%,98.00%,0.00
7:27:00,20.00%,18.00%,88.00%,0.00
5:39:00,16.00%,0.00%,13.00%,0.00
9:13:00,18.00%,19.00%,96.00%,0.00
6:50:00,23.00%,19.00%,93.00%,0.00
6:43:00,17.00%,18.00%,70.00%,0.00
8:16:00,19.00%,15.00%,79.00%,0.00
6:41:00,23.00%,15.00%,94.00%,0.00
7:18:00,21.00%,13.00%,89.00%,0.00
6:35:00,20.00%,21.00%,85.00%,0.00
8:51:00,23.00%,21.00%,42.00%,0.00
8:49:00,24.00%,18.00%,35.00%,0.00
8:04:00,24.00%,16.00%,97.00%,0.00
6:42:00,17.00%,19.00%,52.00%,0.00
7:07:00,15.00%,20.00%,98.00%,0.00
6:49:00,18.00%,15.00%,98.00%,0.00
8:01:00,22.00%,14.00%,89.00%,0.00
6:54:00,13.00%,15.00%,77.00%,0.00
8:18:00,23.00%,20.00%,71.00%,0.00
8:04:00,17.00%,21.00%,76.00%,0.00
8:12:00,22.00%,13.00%,40.00%,0.00
7:49:00,20.00%,17.00%,96.00%,0.00
7:16:00,19.00%,16.00%,96.00%,0.00
7:18:00,19.00%,19.00%,96.00%,0.00
7:46:00,20.00%,21.00%,98.00%,0.00
8:02:00,16.00%,16.00%,57.00%,0.00
8:54:00,18.00%,17.00%,81.00%,0.00
7:57:00,19.00%,13.00%,54.00%,0.00
6:47:00,19.00%,15.00%,91.00%,0.00
7:36:00,14.00%,17.00%,97.00%,0.00
7:59:00,20.00%,13.00%,44.00%,0.00
8:29:00,18.00%,13.00%,99.00%,0.00
8:30:00,20.00%,19.00%,72.00%,0.00
7:29:00,20.00%,16.00%,69.00%,0.00
5:42:00,13.00%,0.00%,59.00%,0.00
8:22:00,15.00%,16.00%,43.00%,0.00
7:59:00,17.00%,19.00%,92.00%,0.00
8:13:00,12.00%,17.00%,84.00%,0.00
7:37:00,18.00%,20.00%,36.00%,0.00
7:28:00,23.00%,21.00%,54.00%,0.00
7:14:00,17.00%,17.00%,76.00%,0.00
7:33:00,20.00%,25.00%,87.00%,0.00
7:47:00,25.00%,16.00%,89.00%,0.00
8:17:00,22.00%,14.00%,93.00%,0.00
7:12:00,12.00%,16.00%,80.00%,0.00
8:16:00,27.00%,18.00%,67.00%,0.00
8:09:00,15.00%,15.00%,91.00%,0.00
7:07:00,25.00%,17.00%,97.00%,0.00
7:25:00,20.00%,21.00%,43.00%,0.00
7:52:00,21.00%,18.00%,52.00%,0.00
8:10:00,18.00%,22.00%,10.00%,0.00
8:54:00,21.00%,11.00%,98.00%,0.00
7:03:00,20.00%,15.00%,95.00%,0.00
6:33:00,14.00%,22.00%,95.00%,0.00
6:59:00,22.00%,23.00%,93.00%,0.00
6:34:00,20.00%,20.00%,96.00%,0.00
7:38:00,30.00%,21.00%,92.00%,0.00
8:06:00,20.00%,13.00%,84.00%,0.00
7:57:00,12.00%,18.00%,90.00%,0.00
7:06:00,13.00%,22.00%,93.00%,0.00
7:04:00,19.00%,17.00%,97.00%,0.00
9:24:00,17.00%,15.00%,66.00%,0.00
8:19:00,14.00%,13.00%,21.00%,0.00
7:37:00,20.00%,15.00%,80.00%,0.00
6:46,16%,17.00%,89.00%,0.00
7:10:00,24.00%,19.00%,98.00%,0.00
7:16:00,21.00%,17.00%,96.00%,0.00
6:52:00,19.00%,21.00%,97.00%,0.00
7:28:00,18.00%,16.00%,74.00%,0.00
6:06,16.00%,21.00%,43.00%,0.00
6:59:00,23.00%,22.00%,91.00%,0.00
7:19:00,21.00%,22.00%,96.00%,0.00
7:22:00,17.00%,11.00%,55.00%,0.00
6:57:00,15.00%,14.00%,67.00%,0.00
7:14:00,24.00%,19.00%,98.00%,0.00
6:50:00,20.00%,20.00%,75.00%,0.00
7:56:00,24.00%,17.00%,63.00%,0.00
7:33:00,19.00%,16.00%,95.00%,0.00
8:21:00,14.00%,19.00%,94.00%,0.00
8:15:00,20.00%,14.00%,72.00%,0.00
6:26:00,18.00%,13.00%,55.00%,0.00
6:51:00,20.00%,17.00%,51.00%,0.00
8:45:00,22.00%,19.00%,56.00%,0.00
7:53:00,24.00%,19.00%,66.00%,0.00
6:13:00,22.00%,22.00%,81.00%,0.00
7:44:00,18.00%,21.00%,81.00%,0.00
6:48:00,12.00%,13.00%,74.00%,0.00
